Pseudonym,Title,Publisher,City,Date,Type
,Professor Brankel's Secret: A Psychological Study ,W.M. Baird Railway Bookstalls,Melbourne,1886,Novel
,The Mystery of a Hansom Cab ,Kemp & Boyce,Melbourne,1886,Novel
,Madame Midas; a Realistic and Sensational Story of Australian Mining Life,Hansom Cab Publishing Co.,London,1888,Novel
,The Girl from Malta,National Pub. Co.,Toronto,1889,Novel
,The Piccadilly Puzzle: A Mysterious Story,National Pub. Co.,Toronto,1889,Novel
,Miss Mehistopheles,F.V. White & Co.,London,1890,Novel
,The Gentleman who Vanished: A Psychological Phantasy ,F.V. White & Co.,London,1890,Novel
,The Man with a Secret,F.V. White & Co.,London,1890,Novel
,A Creature of the Night; an Italian Enigma,"Sampson Low, Marston & Co",London,1891,Novel
,Monsieur Judas,S. Blackett,London,1891,Novel
,The Fever of Life,"Sampson Low, Marston & Co",London,1891,Novel
,The Year of Miracle: A Tale of the Year One Thousand Nine Hundred,Routledge,London,1891,Novel
,Whom God Hath Joined: A Question of Marriage,F.V. White & Co.,London,1891,Novel
,Aladdin in London: A Romance,A. and C. Black,London,1892,Novel
,The Black Carnation: A Riddle,Gale,London,1892,Novel
,The Chronicles of Faeryland: Fantastic Tales for Young and Old ,"Griffith, Farran & Co.",London,1892,Collection
,The Island of Fantasy ,G. Farran & Co.,London,1892,Novel
,When I Lived in Bohemia,Simpkin & Co.,London,1892,Novel
,A Speck of the Motley,A.D. Innes,London,1893,Novel
,The Chinese Jar,"Sampson Low, Marston & Co",London,1893,Novel
,The Harlequin Opal,"Rand, McNally & Co.",Chicago,1893,Novel
,A Midnight Mystery: A Novel,Gale & Polden,London,1894,Novel
,The Best of Her Sex: A Novel,W.H. Allen,London,1894,Novel
,The Gates of Dawn,"Sampson Low, Marston & Co",London,1894,Novel
,The Lone Inn,Jarrold & Sons,London,1894,Novel
,The Mystery of Landy Court,Jarrold & Sons,London,1894,Novel
Stephen Grail,The Nameless City: A Rommany Romance,"Osgood, McIlvaine",London,1894,Novel
,The Third Volume,Cassell Pub Co.,New York,1894,Novel
,The Crime of the 'Liza Jane',"Ward, Lock & Bowden",London,1895,Novel
,The Expedition of Captain Flick,Jarrold & Sons,London,1895,Novel
,The Masquerage Mystery,"Digby, Long & Co.",London,1895,Novel
